"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"LOC_Os07g37550",1.60333493666827e-06,0.000363767545585727,2,9194.43876509056,24,1.6e-06,6
"LOC_Os04g38410",1.60333493666827e-06,0.000363767545585727,2,7483.80604004406,24,1.6e-06,6
"LOC_Os04g41560",1.60333493666827e-06,0.000363767545585727,4,7312.4387116235,24,1.6e-06,8
"LOC_Os03g15920",1.60333493666827e-06,0.000363767545585727,8,6637.25780160753,24,1.6e-06,12
"LOC_Os07g06660",1.60333493666827e-06,0.000363767545585727,0,5976.2897378934,24,1.6e-06,4
"LOC_Os12g08770",1.60333493666827e-06,0.000363767545585727,0,5899.97523853384,24,1.6e-06,4
"LOC_Os05g01530",1.60333493666827e-06,0.000363767545585727,0,5338.09051253348,24,1.6e-06,4
"LOC_Os11g02610",1.60333493666827e-06,0.000363767545585727,2,5051.53548945764,24,1.6e-06,6
"LOC_Os03g54130",1.60333493666827e-06,0.000363767545585727,22,5031.24152483758,24,1.6e-06,2
"LOC_Os10g18370",1.60333493666827e-06,0.000363767545585727,22,4718.77103823125,24,1.6e-06,2
"LOC_Os08g34210",1.60333493666827e-06,0.000363767545585727,22,4434.90302092391,24,1.6e-06,2
"LOC_Os06g21380",1.60333493666827e-06,0.000363767545585727,0,4418.28601156602,24,1.6e-06,4
"LOC_Os01g70170",1.60333493666827e-06,0.000363767545585727,8,4285.45600272013,24,1.6e-06,12
"LOC_Os09g37330",1.60333493666827e-06,0.000363767545585727,14,4205.35848208122,24,1.6e-06,18
"LOC_Os06g50080",1.60333493666827e-06,0.000363767545585727,14,3955.20178056695,24,1.6e-06,18
"LOC_Os02g39360",1.60333493666827e-06,0.000363767545585727,22,3832.21823364908,24,1.6e-06,2
"LOC_Os01g73170",1.60333493666827e-06,0.000363767545585727,10,3060.14601694102,24,1.6e-06,14
"LOC_Os10g28360",1.60333493666827e-06,0.000363767545585727,2,3244.24126742294,24,1.6e-06,6
"LOC_Os09g30340",1.60333493666827e-06,0.000363767545585727,2,3136.14231824905,24,1.6e-06,6
"LOC_Os03g43720",1.60333493666827e-06,0.000363767545585727,22,682.605531218434,24,1.6e-06,2
"LOC_Os05g25840",1.60333493666827e-06,0.000363767545585727,2,2823.83093066848,24,1.6e-06,6
"LOC_Os12g44310",1.60333493666827e-06,0.000363767545585727,2,2682.44492977023,24,1.6e-06,6
"LOC_Os01g61400",1.60333493666827e-06,0.000363767545585727,22,2665.0854582921,24,1.6e-06,2
"LOC_Os07g26690",1.60333493666827e-06,0.000363767545585727,22,2523.02770595172,24,1.6e-06,2
"LOC_Os03g18870",1.60333493666827e-06,0.000363767545585727,8,2432.3766166036,24,1.6e-06,12
"LOC_Os03g48000",1.60333493666827e-06,0.000363767545585727,22,2371.93666448168,24,1.6e-06,2
"LOC_Os03g60509",1.60333493666827e-06,0.000363767545585727,6,2141.86179555311,24,1.6e-06,10
"LOC_Os05g51150",1.60333493666827e-06,0.000363767545585727,8,898.237744141271,24,1.6e-06,12
"LOC_Os07g07320",1.60333493666827e-06,0.000363767545585727,8,2021.61828741234,24,1.6e-06,12
"LOC_Os07g44290",1.60333493666827e-06,0.000363767545585727,22,1958.3675858352,24,1.6e-06,2
"LOC_Os08g25624",1.60333493666827e-06,0.000363767545585727,8,1378.46931458412,24,1.6e-06,12
"LOC_Os08g32930",1.60333493666827e-06,0.000363767545585727,8,1916.08260032025,24,1.6e-06,12
"LOC_Os10g35460",1.60333493666827e-06,0.000363767545585727,8,524.107546215469,24,1.6e-06,12
"LOC_Os06g28194",1.60333493666827e-06,0.000363767545585727,8,1880.26764185315,24,1.6e-06,12
"LOC_Os04g37710",1.60333493666827e-06,0.000363767545585727,22,1768.31496072179,24,1.6e-06,2
"LOC_Os08g40160",1.60333493666827e-06,0.000363767545585727,6,1754.75618819254,24,1.6e-06,10
"LOC_Os05g39770",1.60333493666827e-06,0.000363767545585727,20,1749.84179606329,24,1.6e-06,24
"LOC_Os12g32760",1.60333493666827e-06,0.000363767545585727,22,1726.54262762319,24,1.6e-06,2
"LOC_Os09g38070",1.60333493666827e-06,0.000363767545585727,22,1699.56650392093,24,1.6e-06,2
"LOC_Os08g29720",1.60333493666827e-06,0.000363767545585727,20,1664.08742117489,24,1.6e-06,24
"LOC_Os04g43390",1.60333493666827e-06,0.000363767545585727,22,1593.32371004765,24,1.6e-06,2
"LOC_Os04g42520",1.60333493666827e-06,0.000363767545585727,14,1566.84256109221,24,1.6e-06,18
"LOC_Os03g37640",1.60333493666827e-06,0.000363767545585727,0,1563.44844854252,24,1.6e-06,4
"LOC_Os04g33750",1.60333493666827e-06,0.000363767545585727,20,1525.86572312245,24,1.6e-06,24
"LOC_Os06g03520",1.60333493666827e-06,0.000363767545585727,12,1462.8448312492,24,1.6e-06,16
"LOC_Os04g57210",1.60333493666827e-06,0.000363767545585727,22,1367.75664684914,24,1.6e-06,2
"LOC_Os05g48200",1.60333493666827e-06,0.000363767545585727,6,1355.54137720414,24,1.6e-06,10
"LOC_Os01g50460",1.60333493666827e-06,0.000363767545585727,22,1283.38113018405,24,1.6e-06,2
"LOC_Os06g40440",1.60333493666827e-06,0.000363767545585727,12,1311.98359948305,24,1.6e-06,16
"LOC_Os04g57020",1.60333493666827e-06,0.000363767545585727,2,1309.08446168019,24,1.6e-06,6
"LOC_Os11g25260",1.60333493666827e-06,0.000363767545585727,8,1282.53260204663,24,1.6e-06,12
"LOC_Os02g58310",1.60333493666827e-06,0.000363767545585727,22,1282.47956903804,24,1.6e-06,2
