"module","size","ME_adjp","ME_phase","rhythmic"
"ME6",130,0.0112207107983529,4,TRUE
"ME3",480,0.000288571640243092,4,TRUE
"ME5",145,0.458943994361212,3,FALSE
"ME2",511,7.5295658104804e-12,9,TRUE
"ME4",336,2.42749499607759e-13,12,TRUE
"ME1",630,1.19287108965482e-07,17,TRUE
"ME7",56,0.0138388712938145,14,TRUE
