"GeneName","jtk_adjp","jtk_q","jtk_lag","jtk_amp","jtk_per","paper_pval","paper_phase"
"Cpa|evm.model.tig00000133.10",0.0492609964653972,0.0683945335162831,13,4.43689795689049,24,0.0492609964653972,14
"Cpa|evm.model.tig00021105.35",0.0539641095436385,0.0743705213978739,11,0.325027425651808,24,NA,NA
"Cpa|evm.model.tig00000789.38",3.19423979740113e-08,2.1376835567223e-07,16,6.09346473812599,24,3.19423979740113e-08,17
"Cpa|evm.model.tig00020684.3",0.17650545104379,0.221071611440229,18,2.42255898023707,24,NA,NA
"Cpa|evm.model.tig00020603.39",3.19423979740113e-08,2.1376835567223e-07,22,14.2603270054622,24,3.19423979740113e-08,23
"Cpa|evm.model.tig00001604.2",1.88156846482344e-05,5.70421890738558e-05,11,11.3123415484396,24,1.88156846482344e-05,12
"Cpa|evm.model.tig00000882.24",0.876166270262647,0.981651088033669,14,0.546021394360155,24,NA,NA
"Cpa|evm.model.tig00000802.43",0.000846916506506073,0.00170721703099757,15,1.42221012636519,24,0.000846916506506073,16
"Cpa|evm.model.tig00000190.38",0.0253620797345938,0.0372429397297138,6,0.944505542188832,24,0.0253620797345938,7
"Cpa|evm.model.tig00000042.1",9.0633950379338e-05,0.00023028380532956,22,1.14465221259343,24,9.0633950379338e-05,23
"Cpa|evm.model.tig00000113.18",0.00140974185384053,0.00270331983162706,13,2.05126629611171,24,0.00140974185384053,14
"Cpa|evm.model.tig00021319.18",1.19287108965482e-07,6.6899365408245e-07,20,8.8288300902364,24,1.19287108965482e-07,21
"Cpa|evm.model.tig00020830.24",0.000188768682916632,0.000444539242876271,17,2.67709273919492,24,0.000188768682916632,18
"Cpa|evm.model.tig00001224.9",0.00728846898097494,0.011981480257969,17,1.96367271597935,24,0.00728846898097494,18
"Cpa|evm.model.tig00021537.21",0.00292579567385745,0.00525027751290372,17,1.35735554856995,24,0.00292579567385745,18
"Cpa|evm.model.tig00001024.9",3.19423979740113e-08,2.1376835567223e-07,15,2.28485977240086,24,3.19423979740113e-08,16
"Cpa|evm.model.tig00000139.12",1.36443047862213e-09,1.48097012602844e-08,14,4.24673294599304,24,1.36443047862213e-09,15
"Cpa|evm.model.tig00000217.24",0.017000924372884,0.0259371116893864,12,2.59527049001084,24,0.017000924372884,13
"Cpa|evm.model.tig00000135.1",3.926364111813e-12,1.49687117206534e-10,4,902.255982688259,24,3.926364111813e-12,5
"Cpa|evm.model.tig00000334.7",0.0100886248589965,0.0160919068007593,17,1.48929629144254,24,0.0100886248589965,18
"Cpa|evm.model.tig00020563.44",0.0112207107983529,0.0177127904246819,16,0.930189292657166,24,0.0112207107983529,17
"Cpa|evm.model.tig00000821.31",0.000288571640243092,0.000651879877060461,16,12.4164364565877,24,0.000288571640243092,17
"Cpa|evm.model.tig00000158.117",0.640044765419912,0.730956542938324,16,0.93648624824926,24,NA,NA
"Cpa|evm.model.tig00000139.2",0.0675756591917228,0.0916110802451316,15,0.184049169040094,24,NA,NA
"Cpa|evm.model.tig00001056.23",0.000963665150095782,0.00191907257558105,12,2.22851914615464,24,0.000963665150095782,13
"Cpa|evm.model.tig00021070.72",1.76690496426816e-09,1.83224588745779e-08,14,19.3312657029855,24,1.76690496426816e-09,15
"Cpa|evm.model.tig00000144.54",0.0645868413796852,0.0875801905528223,8,8.04356459848388,24,NA,NA
"Cpa|evm.model.tig00000404.14",1,1,2,2.25641115309721,24,NA,NA
"Cpa|evm.model.tig00001408.1",0.000380510034381709,0.000836293915440561,0,54.3539472645227,24,0.000380510034381709,1
"Cpa|evm.model.tig00001027.12",1,1,18,0.789978550428625,24,NA,NA
"Cpa|evm.model.tig00021122.7",0.0372682140214986,0.0529482665500983,13,2.55625013518734,24,0.0372682140214986,14
"Cpa|evm.model.tig00000229.1",0.000846916506506073,0.00170721703099757,17,0.824898433863438,24,0.000846916506506073,18
