"module","size","ME_adjp","ME_phase","rhythmic"
"ME4",145,7.75783933229024e-06,8,TRUE
"ME6",101,0.000423037439190381,10,TRUE
"ME8",53,0.129367463202599,15,FALSE
"ME1",2033,0.00117955776258611,18,TRUE
"ME5",125,0.267230891871191,18,FALSE
"ME3",214,2.58131407949365e-06,3,TRUE
"ME2",218,0.016308711801888,18,TRUE
"ME7",100,1,22,FALSE
