"module","size","ME_adjp","ME_phase","rhythmic"
"ME7",52,4.46757533752674e-17,11,TRUE
"ME8",51,9.6222987116414e-06,9,TRUE
"ME6",80,0.00259776754709449,9,TRUE
"ME1",1533,2.93820662985732e-09,8,TRUE
"ME5",108,9.06975779783577e-07,9,TRUE
"ME2",776,1.67692978967284e-13,17,TRUE
"ME3",268,1.60561324585694e-06,1,TRUE
"ME4",120,1.81883986025281e-07,22,TRUE
