"module","size","ME_adjp","ME_phase","rhythmic"
"ME4",448,1.42265810544289e-27,1,TRUE
"ME5",116,0.640044765419912,19,FALSE
"ME2",687,4.52459992593622e-20,10,TRUE
"ME7",35,0.000963665150095782,11,TRUE
"ME6",49,1,18,FALSE
"ME1",791,9.33840783140467e-18,15,TRUE
"ME3",687,7.5295658104804e-12,18,TRUE
